Study_Hours,Attendance,Previous_Marks,Assignments_Completed,Sleep_Hours,Practice_Tests,Result
5.5,62,70,9,5.9,7,Fail
7.6,47,46,0,6.8,5,Fail
6.1,65,54,0,4.5,2,Fail
6.7,47,45,3,4.8,0,Fail
3.3,47,78,0,8.7,3,Fail
2.8,93,35,9,7.8,5,Fail
3.6,88,41,0,8.6,4,Fail
2.0,53,42,5,8.6,5,Fail
8.8,91,89,9,7.2,3,Pass
3.2,44,92,8,8.6,10,Fail
5.8,57,60,2,6.1,4,Fail
8.0,83,36,5,4.0,9,Fail
7.9,58,78,6,4.3,4,Pass
4.7,84,59,8,4.5,4,Fail
5.0,93,85,4,4.5,6,Fail
9.9,44,50,3,5.8,2,Pass
6.9,41,95,8,7.5,2,Pass
8.2,97,82,9,8.0,4,Pass
9.1,71,40,5,7.0,8,Fail
8.0,70,76,0,4.7,1,Fail
2.3,68,45,5,7.7,4,Fail
5.8,66,49,9,5.8,7,Pass
1.5,82,42,10,4.1,7,Fail
6.7,75,73,4,5.4,4,Fail
9.6,49,43,1,5.7,0,Fail
5.4,78,70,6,5.4,0,Fail
4.6,80,66,9,8.1,5,Fail
0.8,46,78,10,7.8,8,Fail
9.6,62,95,0,7.5,0,Fail
1.5,88,25,3,4.7,9,Fail
0.9,77,95,5,8.0,7,Fail
2.8,48,32,1,7.4,0,Fail
1.1,42,62,9,5.0,3,Fail
4.8,75,49,1,7.2,2,Fail
5.4,68,70,7,6.4,10,Fail
3.5,98,76,10,6.2,6,Fail
1.0,71,86,7,4.6,3,Fail
1.6,96,53,8,6.6,3,Fail
4.2,53,91,2,4.5,6,Fail
1.1,67,47,9,4.8,0,Fail
7.1,48,39,4,4.7,2,Fail
2.5,75,51,0,8.8,1,Fail
3.4,51,62,4,5.4,6,Fail
4.2,70,72,3,5.8,7,Fail
4.5,60,84,5,5.6,5,Fail
0.5,51,40,2,8.5,1,Fail
1.6,45,46,5,6.8,4,Fail
8.7,71,91,4,8.6,9,Pass
0.5,97,56,3,5.5,2,Fail
5.3,52,42,7,4.6,1,Fail
5.2,64,94,3,6.8,1,Fail
3.7,53,56,8,5.7,8,Fail
4.6,89,94,2,8.0,1,Fail
7.9,65,90,9,8.4,6,Pass
8.5,99,89,4,6.4,10,Pass
3.0,54,66,0,8.9,7,Fail
3.6,44,81,1,6.8,4,Fail
2.8,75,93,8,5.4,2,Fail
5.1,79,44,9,6.4,0,Fail
7.0,100,27,2,4.2,1,Fail
2.7,93,47,6,8.0,10,Fail
3.6,93,70,6,4.5,1,Pass
9.3,78,63,1,5.5,0,Fail
1.0,61,30,4,6.8,8,Fail
4.9,66,64,7,4.2,4,Fail
7.3,48,37,10,4.4,3,Fail
1.9,66,60,9,7.5,7,Fail
1.0,62,65,1,4.4,5,Fail
1.8,42,70,2,6.4,10,Fail
9.2,52,54,4,5.7,5,Fail
0.6,72,53,1,5.1,7,Fail
2.3,62,73,6,4.9,9,Fail
0.8,100,78,0,7.8,5,Fail
1.6,69,82,1,8.8,3,Fail
6.4,98,48,0,4.7,10,Fail
2.8,80,55,3,8.8,2,Fail
5.9,42,48,8,7.0,0,Fail
6.1,52,62,1,7.2,6,Fail
8.6,83,34,10,7.5,10,Pass
0.5,73,55,2,7.5,0,Fail
8.6,58,38,0,8.1,9,Fail
6.4,71,62,3,6.4,9,Fail
2.0,95,85,8,6.7,10,Fail
7.8,63,94,1,5.6,4,Fail
8.6,42,56,0,4.5,2,Fail
2.9,58,28,9,7.3,5,Fail
9.2,97,41,6,4.2,1,Fail
4.8,86,32,3,5.4,9,Fail
6.2,91,78,8,4.5,7,Pass
9.9,95,94,9,5.0,5,Pass
3.9,47,64,3,7.2,5,Fail
8.2,57,37,6,7.1,7,Fail
3.5,43,26,0,6.1,5,Fail
8.1,40,94,3,4.5,9,Pass
6.2,90,47,6,6.2,10,Fail
2.6,97,32,2,5.8,10,Fail
4.4,49,37,10,7.6,6,Fail
3.5,84,43,10,6.9,8,Fail
1.2,72,71,2,6.5,3,Fail
0.8,44,88,4,6.4,0,Fail
3.8,95,44,2,8.8,4,Fail
0.7,93,73,5,7.8,9,Fail
2.1,74,29,1,6.5,1,Fail
7.4,83,25,4,6.4,6,Fail
7.2,64,28,6,4.1,2,Fail
7.5,88,90,6,8.7,4,Pass
3.5,67,66,6,5.6,1,Fail
9.0,100,82,2,5.3,8,Pass
6.1,43,26,8,9.0,8,Fail
1.7,50,26,7,7.6,8,Fail
1.9,99,85,8,4.2,7,Fail
7.1,57,32,5,4.3,2,Fail
2.1,58,36,9,4.1,5,Fail
5.3,88,61,4,7.0,1,Fail
9.9,51,68,8,4.4,4,Fail
0.5,71,41,2,8.7,5,Fail
0.7,57,56,2,8.7,7,Fail
9.9,52,72,5,6.7,1,Fail
6.1,98,56,6,7.1,8,Fail
1.7,52,52,8,5.5,5,Fail
9.0,45,30,3,4.3,9,Fail
8.9,81,57,9,7.7,5,Pass
5.6,92,81,3,4.5,6,Pass
6.4,47,69,5,4.4,7,Fail
3.1,83,88,10,5.6,9,Fail
1.0,72,33,5,4.1,1,Fail
6.1,90,25,7,6.2,5,Fail
3.3,47,63,9,7.5,0,Fail
6.8,99,37,10,8.0,5,Fail
8.4,77,67,5,7.0,8,Pass
0.7,91,89,4,8.2,9,Fail
6.2,62,48,2,6.0,3,Fail
2.7,97,64,5,8.2,4,Fail
8.8,78,73,10,6.5,6,Pass
2.9,47,35,5,5.1,4,Fail
6.3,96,88,3,8.7,1,Pass
5.8,88,39,1,5.4,3,Fail
4.3,58,82,4,4.1,4,Fail
6.9,73,71,2,5.2,5,Fail
7.4,63,35,10,5.8,10,Fail
5.9,73,76,5,5.8,5,Fail
7.7,98,38,1,6.6,4,Fail
9.8,94,67,0,8.4,7,Pass
4.5,53,93,9,5.5,8,Pass
5.4,99,92,10,6.6,4,Pass
0.6,66,86,8,5.7,5,Fail
8.1,82,60,1,8.1,2,Fail
5.4,86,64,1,4.8,9,Fail
4.4,69,46,2,4.5,9,Fail
1.4,67,90,8,6.5,1,Fail
9.0,67,58,8,7.4,3,Fail
4.3,92,79,9,8.0,2,Pass
7.0,63,50,1,6.9,10,Fail
1.9,57,77,1,7.9,0,Fail
9.6,62,40,9,6.0,2,Fail
2.2,51,77,10,4.2,3,Fail
2.4,63,28,7,4.6,6,Fail
8.7,46,32,1,4.2,2,Fail
9.2,45,50,0,5.6,5,Pass
2.5,84,59,0,6.5,8,Fail
5.0,44,75,7,5.8,9,Pass
7.5,74,50,9,6.8,1,Fail
8.8,87,26,6,6.4,1,Fail
4.1,84,48,2,7.4,1,Fail
5.4,67,56,8,7.3,10,Pass
7.5,51,63,0,5.6,7,Fail
7.4,96,70,9,5.7,5,Pass
7.9,90,42,9,6.9,8,Pass
5.9,77,68,7,7.0,6,Fail
1.5,45,69,9,5.6,2,Fail
9.1,42,80,6,5.7,5,Pass
8.7,59,62,5,7.5,7,Fail
8.1,49,82,3,7.2,0,Fail
1.4,92,40,10,4.7,6,Fail
2.4,52,75,7,6.2,5,Fail
7.6,57,28,2,8.5,0,Fail
0.7,99,32,10,4.2,2,Fail
9.8,89,86,0,8.3,4,Pass
4.1,53,58,6,4.8,3,Fail
7.3,63,69,2,6.5,3,Fail
8.9,71,67,7,6.1,7,Pass
4.2,80,74,4,4.1,4,Fail
3.5,97,42,4,8.6,5,Fail
6.3,93,37,7,6.3,8,Fail
6.0,99,28,8,8.8,1,Fail
4.4,42,86,4,5.4,3,Fail
6.2,54,40,10,8.3,0,Fail
9.4,74,65,5,8.6,10,Fail
4.9,42,57,1,6.8,2,Fail
2.4,61,36,0,5.0,9,Fail
4.1,49,54,2,7.4,2,Fail
4.2,96,30,7,6.7,3,Fail
1.7,43,37,5,8.7,6,Fail
2.0,49,34,3,6.2,9,Fail
7.0,51,83,5,5.3,1,Fail
3.7,49,65,9,4.7,2,Fail
9.6,74,90,6,7.5,9,Pass
2.8,62,55,0,8.9,3,Fail
1.4,95,39,0,4.1,2,Fail
7.7,55,68,5,7.7,8,Fail
8.9,72,90,4,8.6,1,Pass
3.1,80,62,9,4.4,9,Fail
2.4,78,26,6,4.6,9,Fail
2.3,88,46,8,7.5,9,Fail
5.5,52,90,6,7.2,3,Fail
4.9,70,61,3,4.3,1,Fail
3.0,88,92,7,8.2,4,Fail
0.9,92,61,6,6.6,3,Fail
5.1,77,25,7,8.5,10,Fail
9.6,79,86,2,8.4,6,Pass
6.7,92,79,7,8.1,10,Pass
5.2,78,75,3,6.6,8,Fail
1.6,97,93,8,5.3,7,Fail
2.9,47,38,8,6.5,1,Fail
3.3,61,89,6,4.5,0,Fail
7.8,46,41,10,7.3,0,Fail
8.8,45,93,5,4.7,6,Fail
9.1,68,38,0,6.6,2,Fail
9.9,53,64,6,4.3,10,Fail
9.8,64,81,8,5.5,1,Pass
9.6,66,30,1,5.2,10,Fail
1.2,77,29,1,7.1,7,Fail
1.8,97,85,3,7.9,1,Fail
3.4,91,29,9,4.3,0,Fail
5.8,63,68,5,8.3,4,Fail
1.4,59,91,10,8.3,3,Fail
8.5,87,68,9,5.7,3,Fail
6.4,47,59,6,7.3,5,Fail
5.7,72,54,7,6.0,1,Fail
2.1,65,70,3,4.8,1,Fail
2.9,51,65,0,6.6,7,Fail
2.0,77,60,4,4.4,10,Fail
8.6,59,35,6,8.4,3,Fail
6.1,51,72,2,8.6,10,Fail
7.5,79,77,2,8.1,3,Fail
3.3,50,75,0,6.8,3,Fail
4.0,81,30,8,6.8,0,Fail
4.3,49,74,9,8.9,4,Fail
7.7,66,76,9,5.2,5,Fail
7.8,89,38,4,4.4,7,Fail
2.5,53,85,6,6.8,1,Fail
9.4,86,62,10,5.6,2,Pass
1.6,84,58,6,5.6,4,Fail
9.0,95,76,3,4.0,0,Pass
1.5,50,61,3,7.0,1,Fail
3.0,83,63,7,5.3,6,Fail
8.5,97,47,4,4.9,10,Pass
2.2,86,90,9,4.2,6,Fail
4.4,51,93,9,5.8,1,Fail
4.8,90,34,0,8.4,10,Fail
2.8,46,77,7,5.7,5,Fail
7.2,75,26,4,7.4,7,Fail
8.6,70,51,5,7.8,2,Fail
8.8,72,93,2,5.6,6,Fail
3.7,71,37,4,8.1,0,Fail
5.5,41,51,3,7.5,6,Fail
2.9,70,40,0,6.8,2,Fail
2.8,97,76,8,4.0,10,Fail
2.0,66,57,1,4.2,0,Fail
9.4,56,67,4,9.0,7,Pass
8.9,100,91,2,7.9,1,Pass
7.9,46,61,1,8.7,7,Fail
5.4,69,77,4,8.5,5,Fail
5.2,71,31,10,4.1,10,Fail
5.5,69,40,10,8.0,7,Fail
5.6,96,92,4,6.3,4,Pass
4.6,65,86,5,7.9,0,Fail
1.8,99,71,10,4.0,6,Fail
1.7,44,51,2,5.4,4,Fail
9.5,84,39,10,7.8,0,Fail
5.1,76,85,1,8.0,6,Fail
9.6,54,80,2,7.1,2,Fail
2.1,53,42,3,5.5,2,Fail
5.8,83,66,0,5.6,0,Fail
2.5,78,68,8,8.8,4,Fail
2.9,77,58,9,6.2,2,Fail
0.8,43,90,4,6.2,0,Fail
1.6,76,33,9,6.8,4,Fail
9.2,99,43,8,6.0,2,Pass
3.6,41,31,8,6.8,1,Fail
6.3,68,74,8,6.2,5,Fail
4.9,70,70,6,8.1,0,Fail
4.3,94,95,1,8.5,10,Fail
5.6,57,63,10,8.7,5,Fail
2.3,69,35,6,6.8,10,Fail
9.9,83,57,9,6.2,9,Pass
8.3,43,31,10,7.5,10,Fail
7.5,88,72,2,8.2,5,Pass
5.0,90,72,4,6.8,4,Fail
2.0,83,85,2,7.5,7,Fail
9.2,79,49,0,7.7,0,Fail
3.7,85,47,10,7.4,9,Fail
1.0,87,30,10,7.7,3,Fail
3.8,95,54,10,5.0,0,Fail
8.0,66,58,9,6.5,2,Pass
6.4,67,78,7,6.9,2,Fail
7.6,78,78,5,4.0,0,Fail
8.0,51,34,10,8.3,7,Fail
2.5,92,45,6,7.1,1,Fail
9.3,87,61,7,4.6,9,Pass
4.7,78,48,2,8.1,4,Fail
6.6,58,26,8,7.6,7,Fail
0.5,61,85,9,7.8,3,Fail
9.9,66,76,7,6.0,1,Pass
3.2,80,61,5,8.3,1,Fail
