Brand,RAM_GB,Storage_GB,Camera_MP,Battery_mAh,Price_INR
Motorola,16,64,108,5500,48400
Oppo,8,128,50,4500,35600
Xiaomi,4,128,64,5500,23900
Realme,4,128,50,3000,28800
Realme,12,128,12,5000,43900
Samsung,8,128,64,6000,47100
Samsung,4,256,48,5500,46200
Oppo,12,256,48,5500,55600
Motorola,12,512,50,5000,62900
Samsung,8,64,12,5500,37800
Oppo,8,64,50,5000,41500
Apple,4,128,64,5000,68000
Oppo,12,64,108,4000,48100
Vivo,8,128,64,4500,43900
Samsung,12,1024,108,5000,97400
Oppo,8,128,50,4000,44600
Motorola,8,128,108,5000,45400
Realme,6,256,50,5500,45700
Samsung,6,256,50,6000,54900
Apple,12,256,200,4000,93000
Apple,8,128,50,6000,68600
OnePlus,8,512,12,4000,63000
Apple,16,128,50,5000,80800
Realme,16,256,50,5500,61900
Realme,12,256,50,4000,39800
Realme,6,512,50,3000,48200
Apple,8,128,108,3000,82100
Samsung,12,256,50,5000,58300
Motorola,8,64,50,5500,34700
Xiaomi,4,128,50,4000,23500
Oppo,12,64,108,4000,46700
Motorola,8,256,48,5000,41700
Samsung,8,128,48,4500,46100
Samsung,16,256,50,5000,73200
Samsung,8,64,64,6000,42800
Apple,8,512,108,5500,99300
Samsung,8,512,64,5500,75200
Realme,8,64,108,5000,42500
Vivo,4,64,50,5500,29400
Motorola,12,64,12,4500,56500
Realme,12,512,48,4000,68300
Motorola,6,128,12,5000,34400
Apple,6,256,50,4000,66500
Xiaomi,12,256,50,5500,50300
Realme,4,512,50,5000,58100
Apple,8,256,50,6000,86500
Samsung,8,256,50,4500,62500
Oppo,12,1024,64,5000,99800
Realme,6,128,64,5000,26600
Motorola,8,512,50,4500,62100
Motorola,8,64,50,5000,28500
Samsung,8,256,64,5000,47800
Realme,4,512,64,6000,53800
Realme,8,256,50,5000,45800
Oppo,8,256,50,4000,49200
Realme,6,128,64,5000,36300
Realme,6,128,64,5000,36500
OnePlus,6,128,48,4000,33700
Samsung,8,256,50,5000,54400
OnePlus,4,256,108,4500,39600
Apple,16,128,12,4000,67400
Samsung,8,128,108,5000,56300
Samsung,12,128,48,4000,49200
Oppo,16,128,50,5000,56800
Vivo,4,128,50,4000,36500
Vivo,8,512,12,5000,53300
Oppo,12,256,108,4500,59200
Vivo,8,128,50,5500,35400
Oppo,8,256,200,3000,44100
Samsung,8,512,50,5000,69700
Realme,4,128,108,4500,30300
OnePlus,8,128,108,4500,45200
Apple,16,64,50,5000,89800
Realme,16,64,50,5500,38200
Oppo,4,256,64,6000,43000
Samsung,12,1024,50,4500,97900
Apple,6,64,200,4000,77000
Samsung,12,256,50,5000,63400
Xiaomi,4,64,50,5000,28200
Samsung,16,256,48,4500,62600
Oppo,12,256,64,5500,49700
Vivo,4,128,200,5000,47900
Motorola,4,64,12,5000,35500
Oppo,12,256,64,5000,55900
Vivo,6,1024,108,5000,83700
Vivo,8,128,12,4500,36800
Samsung,12,128,48,5500,68500
Samsung,8,128,64,4000,48300
Vivo,8,256,64,5500,55100
Samsung,8,256,12,5500,48600
Samsung,4,512,108,5000,66300
Apple,16,256,50,3000,90500
Motorola,6,512,108,4500,62500
OnePlus,6,512,108,5000,61700
Oppo,6,128,108,5000,34900
OnePlus,16,256,50,6000,71200
Apple,4,128,50,5000,68600
Xiaomi,12,128,50,5500,52100
Samsung,12,512,48,4000,84400
Realme,12,256,64,5000,51500
Apple,16,1024,48,4000,128700
OnePlus,12,128,50,5000,58100
Motorola,16,256,12,4000,59400
Vivo,6,256,50,4500,36000
OnePlus,12,128,50,5500,45600
Vivo,8,128,64,5000,42100
Realme,8,256,108,3000,43900
Xiaomi,12,64,12,3000,34300
Oppo,16,512,108,5000,83400
Realme,12,128,108,4500,50600
Vivo,8,128,50,4500,45100
OnePlus,8,256,64,5000,41400
Apple,8,64,50,4500,66200
Apple,8,512,48,5000,93700
Motorola,8,256,50,5000,37500
Vivo,4,64,48,4500,23700
Xiaomi,4,256,108,4000,35200
OnePlus,12,256,108,4500,61600
Vivo,8,256,108,3000,56300
Vivo,16,512,50,4500,83600
Oppo,8,256,50,6000,42200
Xiaomi,4,256,200,5500,51400
Oppo,6,128,50,5000,38100
OnePlus,6,256,12,5000,46800
Motorola,16,1024,50,5000,104000
Apple,6,256,50,5500,74800
Apple,8,256,50,4500,84600
OnePlus,16,256,12,4500,67100
Vivo,16,256,64,4500,53600
Oppo,6,1024,50,3000,86200
OnePlus,4,128,48,4500,41200
Motorola,6,128,12,5500,35000
OnePlus,4,256,50,6000,51600
Apple,6,256,108,4000,76700
Samsung,8,256,50,5000,56000
Motorola,12,64,64,5000,43900
Apple,8,128,64,5000,58800
Motorola,8,256,50,5000,45500
Xiaomi,6,256,108,3000,38300
Samsung,12,256,64,5500,56900
Xiaomi,8,256,50,6000,52500
Vivo,12,256,12,5000,52200
OnePlus,16,512,12,5000,75600
Realme,8,256,200,5000,51100
Vivo,4,256,108,4500,44000
OnePlus,6,256,108,4000,56100
Oppo,8,128,108,5000,38200
Motorola,16,128,12,3000,47200
OnePlus,8,256,108,5500,60700
Apple,12,512,50,5000,86200
OnePlus,8,256,108,5000,55000
Realme,6,64,12,4500,23200
Apple,8,256,50,6000,76400
Motorola,8,128,64,4500,36600
Vivo,8,256,108,4000,49300
Vivo,8,512,64,4000,69900
Xiaomi,6,256,50,5000,38200
Motorola,12,256,50,6000,55500
Samsung,6,128,200,4500,66100
Xiaomi,16,256,50,6000,55200
OnePlus,6,512,50,4500,71000
OnePlus,4,256,50,5000,44200
OnePlus,8,256,50,3000,58300
Apple,8,128,50,5000,73000
Apple,8,64,50,5000,67100
Samsung,8,128,108,5000,51900
Vivo,16,128,108,4500,52300
Xiaomi,8,128,108,5500,41800
Vivo,8,512,50,6000,65600
Vivo,8,256,50,5000,45400
Oppo,4,128,64,5000,30900
Vivo,8,128,108,5500,42000
Oppo,6,128,50,4500,39800
Vivo,8,512,64,5500,67900
Oppo,4,128,64,4500,28400
Vivo,16,512,64,5500,71100
Xiaomi,8,512,64,4000,59400
Apple,12,128,50,4500,83500
Realme,8,256,50,5000,49200
Xiaomi,4,1024,64,5000,73000
Vivo,12,128,12,5500,41500
Apple,8,64,108,6000,65800
OnePlus,12,512,64,4000,70200
Vivo,8,512,48,4500,67600
Oppo,8,256,108,5000,42000
Vivo,12,256,64,5000,44400
Xiaomi,8,128,64,5000,32900
Motorola,8,512,50,5500,62200
Vivo,8,256,108,5500,53800
